# Bitcoin Mining Transactions
# Format: transaction_id,transaction_data,previous_hash

tx001,Alice->Bob:10BTC:timestamp1234567890,0000000000000000000000000000000000000000000000000000000000000000
tx002,Bob->Charlie:5BTC:timestamp1234567891,0000724bae2e831237c58036cfcdeac3d33d9ec76957e725edfed47db62a2127
tx003,Charlie->Dave:15BTC:timestamp1234567892,00009749e6c8f1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f9a0b1c2d3e4f5a6
tx004,Dave->Eve:8BTC:timestamp1234567893,0000ac06d9e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7
tx005,Eve->Frank:12BTC:timestamp1234567894,00000d85c9f1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f9a0b1c2d3e4f5a6b7
tx006,Frank->Grace:20BTC:timestamp1234567895,0000d97ad8e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7
tx007,Grace->Henry:7BTC:timestamp1234567896,0000e98bd7f1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f9a0b1c2d3e4f5a6b7
tx008,Henry->Irene:18BTC:timestamp1234567897,0000f19ce6a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4e5f6a7
tx009,Irene->Jack:9BTC:timestamp1234567898,00001a8df5b1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6f7a8b9c0d1e2f3e4f5a6b7
tx010,Jack->Kate:25BTC:timestamp1234567899,00002b9ce4a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4e5f6a7
tx011,Kate->Liam:11BTC:timestamp1234567900,00003cabd3f1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f9a0b1c2d3e4f5a6b7
tx012,Liam->Mary:16BTC:timestamp1234567901,00004dbae2c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6a7
tx013,Mary->Nathan:6BTC:timestamp1234567902,00005ecbf1d1e2f3a4b5c6d7e8f9a0b1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6a7
tx014,Nathan->Olivia:22BTC:timestamp1234567903,00006fdce0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4e5f6a7
tx015,Olivia->Paul:13BTC:timestamp1234567904,00007edcf9b1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6f7a8b9c0d1e2f3e4f5a6b7
